Date,Open,High,Low,Price,Adj. Close,Vol.,Change %
19-Jan-17,3936.67,3953.07,3924.63,3932.47,,3.25B,-0.31%
18-Jan-17,3938.74,3966.15,3929.98,3944.76,,3.50B,-0.10%
17-Jan-17,3892.27,3949.38,3867.22,3948.62,,4.25B,1.15%
16-Jan-17,4004.13,4004.13,3814.67,3903.62,,6.07B,-2.64%
13-Jan-17,4056.70,4064.56,4005.41,4009.50,,4.42B,-1.09%
12-Jan-17,4081.90,4093.70,4051.34,4053.65,,4.71B,-0.75%
11-Jan-17,4113.65,4129.32,4084.33,4084.33,,4.51B,-0.81%
10-Jan-17,4125.17,4136.93,4115.99,4117.73,,4.57B,-0.21%
9-Jan-17,4106.43,4129.66,4097.42,4126.19,,4.28B,0.40%
6-Jan-17,4138.31,4138.36,4108.69,4109.56,,4.27B,-0.78%
5-Jan-17,4146.41,4152.15,4138.91,4141.85,,4.80B,-0.14%
4-Jan-17,4099.69,4147.80,4096.34,4147.80,,5.17B,1.18%
3-Jan-17,4075.95,4105.34,4075.95,4099.23,,4.73B,0.89%
30-Dec-16,4064.16,4076.00,4052.04,4063.20,,3.48B,0.17%
29-Dec-16,4062.84,4081.60,4052.98,4056.14,,3.24B,-0.25%
28-Dec-16,4084.32,4091.53,4059.42,4066.31,,3.48B,-0.44%
27-Dec-16,4084.55,4102.56,4081.33,4084.44,,3.62B,-0.04%
26-Dec-16,4058.60,4086.06,4019.09,4086.06,,4.31B,0.33%
23-Dec-16,4116.60,4118.52,4072.48,4072.66,,4.42B,-1.11%
22-Dec-16,4121.46,4125.00,4099.61,4118.35,,4.00B,-0.08%
21-Dec-16,4103.02,4124.34,4103.02,4121.68,,4.35B,0.65%
20-Dec-16,4110.42,4110.58,4078.35,4095.07,,4.63B,-0.46%
19-Dec-16,4135.70,4135.70,4106.74,4113.90,,4.69B,-0.56%
16-Dec-16,4107.36,4141.00,4099.71,4137.09,,4.80B,0.77%
15-Dec-16,4090.96,4137.65,4087.20,4105.67,,5.41B,0.09%
14-Dec-16,4137.44,4142.89,4096.83,4102.07,,5.73B,-0.99%
13-Dec-16,4121.95,4156.34,4088.16,4142.91,,6.02B,0.31%
12-Dec-16,4312.82,4312.82,4125.61,4130.24,,8.39B,-4.35%
9-Dec-16,4320.23,4336.40,4307.51,4318.22,,5.60B,-0.14%
8-Dec-16,4344.46,4344.46,4321.10,4324.36,,5.75B,-0.37%
7-Dec-16,4312.31,4340.51,4299.35,4340.51,,5.62B,0.65%
6-Dec-16,4320.98,4334.96,4310.16,4312.48,,5.40B,-0.07%
5-Dec-16,4317.62,4366.61,4307.42,4315.57,,7.23B,-1.43%
2-Dec-16,4441.97,4442.86,4374.41,4378.38,,7.71B,-1.56%
1-Dec-16,4426.59,4449.21,4425.02,4447.91,,7.29B,0.77%
