Date,Price,Open,High,Low,Vol.,Change %
4/13/2016,4853.01,4846.98,4856.59,4831.57,6.74B,0.49%
4/14/2016,4814.85,4872.23,4873.43,4814.85,4.46B,-0.79%
4/15/2016,4823.57,4834.90,4839.02,4793.14,3.61B,0.18%
4/18/2016,4865.53,4812.58,4865.53,4800.26,3.14B,0.87%
4/19/2016,4881.93,4875.50,4886.50,4864.89,4.45B,0.34%
4/20/2016,4876.60,4876.25,4883.14,4857.72,4.41B,-0.11%
4/21/2016,4903.09,4884.92,4906.83,4884.84,3.81B,0.54%
4/22/2016,4914.74,4898.73,4917.59,4883.88,3.93B,0.24%
4/25/2016,4878.86,4920.40,4920.40,4863.34,4.23B,-0.73%
4/26/2016,4814.09,4866.15,4866.39,4788.38,3.81B,-1.33%
4/27/2016,4845.66,4807.69,4845.66,4803.21,4.70B,0.66%
4/28/2016,4848.39,4861.95,4877.17,4830.69,4.76B,0.06%
4/29/2016,4838.58,4839.37,4839.62,4818.85,3.73B,-0.20%
5/2/2016,4808.32,4828.96,4835.52,4770.56,3.12B,-0.63%
5/3/2016,4812.26,4818.97,4833.99,4806.03,3.53B,0.08%
5/4/2016,4822.60,4808.65,4822.60,4765.41,3.72B,0.21%
5/9/2016,4749.31,4808.52,4812.89,4745.50,3.27B,-1.52%
5/10/2016,4763.11,4749.52,4766.71,4728.54,3.17B,0.29%
5/11/2016,4799.96,4781.14,4811.60,4770.37,2.73B,0.77%
5/12/2016,4803.32,4795.74,4825.18,4792.21,3.06B,0.07%
5/13/2016,4761.72,4801.19,4803.00,4745.91,3.43B,-0.87%
5/16/2016,4731.56,4745.47,4748.82,4720.24,2.95B,-0.63%
5/17/2016,4729.16,4737.17,4745.15,4717.26,3.45B,-0.05%
5/18/2016,4734.36,4721.90,4743.07,4713.72,3.69B,0.11%
5/19/2016,4704.22,4733.47,4739.32,4691.57,3.06B,-0.64%
5/20/2016,4711.88,4698.97,4722.28,4690.56,2.99B,0.16%
5/23/2016,4743.66,4714.68,4743.66,4714.68,2.77B,0.67%
5/24/2016,4710.78,4738.16,4750.36,4710.78,3.35B,-0.69%
5/25/2016,4772.98,4733.89,4772.98,4733.55,3.69B,1.32%
5/26/2016,4784.56,4777.57,4784.66,4761.46,3.06B,0.24%
5/27/2016,4814.73,4782.45,4814.73,4778.54,3.21B,0.63%
5/30/2016,4836.03,4819.05,4845.12,4817.07,3.68B,0.44%
5/31/2016,4796.87,4833.72,4836.37,4792.20,4.24B,-0.81%
6/1/2016,4839.67,4801.85,4851.74,4800.71,2.74B,0.89%
6/2/2016,4833.23,4836.51,4860.86,4833.23,2.82B,-0.13%
6/3/2016,4853.92,4845.42,4861.30,4839.08,2.69B,0.43%
6/6/2016,4896.02,4862.57,4896.02,4860.63,3.17B,0.87%
6/7/2016,4933.99,4908.24,4933.99,4907.51,4.22B,0.78%
6/8/2016,4916.06,4928.09,4940.10,4892.63,3.71B,-0.36%
6/9/2016,4876.79,4913.01,4919.16,4876.79,4.33B,-0.80%
6/10/2016,4848.06,4882.27,4887.59,4848.06,7.74B,-0.59%
6/13/2016,4807.23,4838.02,4838.02,4807.23,6.74B,-0.84%
6/14/2016,4821.59,4797.62,4833.40,4792.53,6.20B,0.30%
6/15/2016,4814.82,4811.23,4814.82,4789.09,5.37B,-0.14%
6/16/2016,4814.39,4819.23,4829.45,4801.87,3.99B,-0.01%
6/17/2016,4835.14,4825.73,4838.03,4806.60,4.25B,0.43%
6/20/2016,4863.53,4849.69,4863.53,4828.59,4.39B,0.59%
6/21/2016,4878.71,4873.44,4889.45,4868.23,5.15B,0.31%
6/22/2016,4896.85,4876.87,4899.20,4876.87,5.72B,0.37%
6/23/2016,4874.31,4896.80,4899.50,4856.05,5.35B,-0.46%
6/24/2016,4834.57,4878.05,4884.80,4754.36,5.72B,-0.82%
6/27/2016,4836.05,4804.05,4846.42,4795.96,3.87B,0.03%
6/28/2016,4882.17,4836.13,4890.60,4835.43,4.78B,0.95%
6/29/2016,4980.10,4905.98,4980.10,4905.98,4.10B,2.01%
6/30/2016,5016.65,4999.88,5033.24,4996.40,5.50B,0.73%
